1686,"TINOGASTA","K","K","750",0
1687,"VALLE VIEJO","K","K","800",0
1688,"CALAMUCHITA","X","X","035",0
1689,"CAPITAL","X","X","070",0
1690,"COLON","X","X","105",0
1691,"CRUZ DEL EJE","X","X","140",0
1692,"GENERAL ROCA","X","X","175",0
1693,"GENERAL SAN MARTIN","X","X","210",0
1694,"ISCHILIN","X","X","245",0
1695,"JUAREZ CELMAN","X","X","280",0
1696,"MARCOS JUAREZ","X","X","315",0
1697,"MINAS","X","X","350",0
1698,"POCHO","X","X","385",0
1699,"PRESIDENTE R S PEÑA","X","X","420",0
1700,"PUNILLA","X","X","455",0
1701,"RIO CUARTO","X","X","490",0
1702,"RIO PRIMERO","X","X","525",0
1703,"RIO SECO","X","X","560",0
1704,"RIO SEGUNDO","X","X","595",0
1705,"SAN ALBERTO","X","X","630",0
1706,"SAN JAVIER","X","X","665",0
1707,"SAN JUSTO","X","X","700",0
1708,"SANTA MARIA","X","X","735",0
1709,"SOBREMONTE","X","X","770",0
1710,"TERCERO ARRIBA","X","X","805",0
1711,"TOTORAL","X","X","840",0
1712,"TULUMBA","X","X","875",0
1713,"UNION","X","X","910",0
1714,"BELLA VISTA","W","W","035",0
1715,"BERON DE ASTRADA","W","W","070",0
1716,"CAPITAL","W","W","105",0
1717,"CONCEPCION","W","W","140",0
1718,"CURUZU CUATIA","W","W","175",0
1719,"EMPEDRADO","W","W","210",0
1720,"ESQUINA","W","W","245",0
1721,"GENERAL ALVEAR","W","W","285",0
1722,"GENERAL PAZ","W","W","315",0
1723,"GOYA","W","W","350",0
1724,"ITATI","W","W","385",0
1725,"ITUZAINGO","W","W","420",0
1726,"LAVALLE","W","W","455",0
1727,"MBURUCUYA","W","W","490",0
1728,"MERCEDES","W","W","525",0
1729,"MONTE CASEROS","W","W","560",0
1730,"PASO DE LOS LIBRES","W","W","595",0
1731,"SALADAS","W","W","630",0
1732,"SAN COSME","W","W","665",0
1733,"SAN LUIS DEL PALMAR","W","W","700",0
1734,"SAN MARTIN","W","W","735",0
1735,"SAN MIGUEL","W","W","770",0
1736,"SAN ROQUE","W","W","805",0
1737,"SAUCE","W","W","840",0
1738,"SANTO TOME","W","W","875",0
1739,"ALMIRANTE BROWN","H","H","035",0
1740,"BERMEJO","H","H","070",0
1741,"COMANDANTE FERNANDEZ","H","H","105",0
1742,"CHACABUCO","H","H","140",0
1743,"DOCE DE OCTUBRE","H","H","175",0
1744,"F J S MARIA DE ORO","H","H","210",0
1745,"GENERAL BELGRANO","H","H","245",0
1746,"GENERAL DONOVAN","H","H","280",0
1747,"GENERAL GUEMES","H","H","315",0
1748,"INDEPENDENCIA","H","H","350",0
1749,"LIBERTAD","H","H","385",0
1750,"LIB GRL SAN MARTIN","H","H","420",0
1751,"MAIPU","H","H","455",0
1752,"MAYOR LUIS J FONTANA","H","H","490",0
1753,"NUEVE DE JULIO","H","H","525",0
1754,"O HIGGINS","H","H","560",0
1755,"PCIA DE LA PLAZA","H","H","595",0
1756,"PRIMERO DE MAYO","H","H","630",0
1757,"QUITILIPI","H","H","665",0
1758,"SAN FERNANDO","H","H","700",0
1759,"SAN LORENZO","H","H","735",0
1760,"SARGENTO CABRAL","H","H","770",0
1761,"TAPENAGA","H","H","805",0
1762,"VEINTICINCO DE MAYO","H","H","840",0
1763,"BIEDMA","U","U","060",0
1764,"CUSHAMEN","U","U","120",0
1765,"ESCALANTE","U","U","180",0
1766,"FLORENTINO AMEGHINO","U","U","240",0
1767,"FUTALEUFU","U","U","300",0
1768,"GAIMAN","U","U","360",0
1769,"GASTRE","U","U","420",0
1770,"LANGUINEO","U","U","480",0
1771,"MARTIRES","U","U","540",0
1772,"PASO DE INDIOS","U","U","600",0
1773,"RAWSON","U","U","660",0
1774,"RIO SENGUERR","U","U","720",0
1775,"SARMIENTO","U","U","780",0
1776,"TEHUELCHES","U","U","840",0
1777,"TELSEN","U","U","900",0
1778,"COLON","E","E","065",0
1779,"CONCORDIA","E","E","130",0
1780,"DIAMANTE","E","E","195",0
1781,"FEDERACION","E","E","260",0
1782,"GUALEGUAY","E","E","390",0
1783,"GUALEGUAYCHU","E","E","455",0
1784,"ISLAS DEL IBICUY","E","E","490",0
1785,"LA PAZ","E","E","520",0
1786,"NOGOYA","E","E","585",0
1787,"PARANA","E","E","650",0
1788,"FEDERAL","E","E","651",0
1789,"SAN J DE FELICIANO","E","E","652",0
1790,"TALA","E","E","715",0
1791,"URUGUAY","E","E","780",0
1792,"VICTORIA","E","E","845",0
1793,"VILLAGUAY","E","E","910",0
1794,"BERMEJO","P","P","100",0
1795,"FORMOSA","P","P","200",0
1796,"LAISHI","P","P","300",0
1797,"MATACOS","P","P","400",0
1798,"PATIÑO","P","P","500",0
1799,"PILAGAS","P","P","600",0
1800,"PILCOMAYO","P","P","700",0
1801,"PIRANE","P","P","800",0
1802,"RAMON LISTA","P","P","900",0
1803,"DOCTOR M BELGRANO","Y","Y","061",0
1804,"PALPALA","Y","Y","062",0
1805,"COCHINOCA","Y","Y","120",0
1806,"EL CARMEN","Y","Y","180",0
1807,"HUMAHUACA","Y","Y","240",0
1808,"LEDESMA","Y","Y","300",0
1809,"RINCONADA","Y","Y","360",0
1810,"SAN ANTONIO","Y","Y","420",0
1811,"SAN PEDRO","Y","Y","480",0
1812,"SANTA BARBARA","Y","Y","540",0
1813,"SANTA CATALINA","Y","Y","600",0
1814,"SUSQUES","Y","Y","660",0
1815,"TILCARA","Y","Y","720",0
1816,"TUMBAYA","Y","Y","780",0
1817,"VALLE GRANDE","Y","Y","840",0
1818,"YAVI","Y","Y","900",0
1819,"ATREUCO","L","L","040",0
1820,"CALEU CALEU","L","L","080",0
1821,"CAPITAL","L","L","120",0
1822,"CATRILO","L","L","160",0
1823,"CONHELLO","L","L","200",0
1824,"CURA CO","L","L","240",0
1825,"CHALILEO","L","L","280",0
1826,"CHAPALEUFU","L","L","320",0
1827,"CHICAL CO","L","L","360",0
1828,"GUATRACHE","L","L","400",0
1829,"HUCAL","L","L","440",0
1830,"LOVENTUE","L","L","480",0
1831,"LIHUEL CALEL","L","L","520",0
1832,"LIMAY MAHUIDA","L","L","560",0
1833,"MARACO","L","L","600",0
1834,"PUELEN","L","L","640",0
1835,"QUEMU QUEMU","L","L","680",0
1836,"RANCUL","L","L","720",0
1837,"REALICO","L","L","760",0
1838,"TOAY","L","L","800",0
1839,"TRENEL","L","L","840",0
1840,"UTRACAN","L","L","880",0
1841,"ANGEL VTE PEÑALOZA","F","F","020",0
1842,"ARAUCO","F","F","050",0
1843,"JUAN F QUIROGA","F","F","060",0
1844,"CAPITAL","F","F","100",0
1845,"CASTRO BARROS","F","F","150",0
1846,"CHILECITO","F","F","200",0
1847,"FAMATINA","F","F","250",0
1848,"GENERAL BELGRANO","F","F","300",0
1849,"GENERAL LAMADRID","F","F","350",0
1850,"GENERAL LAVALLE","F","F","400",0
1851,"GENERAL OCAMPO","F","F","450",0
1852,"GENERAL SAN MARTIN","F","F","550",0
1853,"GENERAL SARMIENTO","F","F","600",0
1854,"GOBERNADOR GORDILLO","F","F","650",0
1855,"INDEPENDENCIA","F","F","700",0
1856,"ROSARIO V PEÑALOZA","F","F","770",0
1857,"SANAGASTA","F","F","800",0
1858,"SAN B DE LOS SAUCES","F","F","850",0
1859,"CAPITAL","M","M","050",0
1860,"GENERAL ALVEAR","M","M","100",0
1861,"GODOY CRUZ","M","M","150",0
1862,"GUAYMALLEN","M","M","200",0
1863,"JUNIN","M","M","250",0
1864,"LA PAZ","M","M","300",0
1865,"LAS HERAS","M","M","350",0
1866,"LAVALLE","M","M","400",0
1867,"LUJAN DE CUYO","M","M","451",0
1868,"MAIPU","M","M","500",0
1869,"MALARGUE","M","M","550",0
1870,"RIVADAVIA","M","M","600",0
1871,"SAN CARLOS","M","M","650",0
1872,"SAN MARTIN","M","M","700",0
1873,"SAN RAFAEL","M","M","750",0
1874,"SANTA ROSA","M","M","800",0
1875,"TUNUYAN","M","M","850",0
1876,"TUPUNGATO","M","M","900",0
1877,"APOSTOLES","N","N","055",0
1878,"CAINGUAS","N","N","110",0
1879,"CANDELARIA","N","N","165",0
1880,"CAPITAL","N","N","220",0
1881,"CONCEPCION","N","N","275",0
1882,"ELDORADO","N","N","330",0
1883,"GENERAL M BELGRANO","N","N","385",0
1884,"GUARANI","N","N","440",0
1885,"IGUAZU","N","N","495",0
1886,"LEANDRO N ALEM","N","N","550",0
1887,"LIB GRAL SAN MARTIN","N","N","605",0
1888,"MONTECARLO","N","N","660",0
1889,"OBERA","N","N","715",0
1890,"SAN IGNACIO","N","N","770",0
1891,"SAN JAVIER","N","N","825",0
1892,"SAN PEDRO","N","N","880",0
1893,"VEINTICINCO DE MAYO","N","N","935",0
1894,"ALUMINE","Q","Q","060",0
1895,"AÑELO","Q","Q","120",0
1896,"CATAN LIL","Q","Q","180",0
1897,"COLLON CURA","Q","Q","240",0
1898,"CONFLUENCIA","Q","Q","300",0
1899,"CHOS MALAL","Q","Q","360",0
1900,"HUILICHES","Q","Q","420",0
1901,"LACAR","Q","Q","480",0
1902,"LONCOPUE","Q","Q","540",0
1903,"LOS LAGOS","Q","Q","600",0
1904,"MINAS","Q","Q","660",0
1905,"ÑORQUIN","Q","Q","720",0
1906,"PEHUENCHES","Q","Q","780",0
1907,"PICUNCHES","Q","Q","840",0
1908,"PICUN LEUFU","Q","Q","900",0
1909,"ZAPALA","Q","Q","960",0
1910,"ADOLFO ALSINA","R","R","070",0
1911,"AVELLANEDA","R","R","140",0
1912,"BARILOCHE","R","R","210",0
1913,"CONESA","R","R","280",0
1914,"EL CUY","R","R","350",0
1915,"GENERAL ROCA","R","R","420",0
1916,"NUEVE DE JULIO","R","R","490",0
1917,"ÑORQUINCO","R","R","560",0
1918,"PICHI MAHUIDA","R","R","630",0
1919,"PILCANIYEU","R","R","700",0
1920,"SAN ANTONIO","R","R","770",0
1921,"VALCHETA","R","R","850",0
1922,"VEINTICINCO DE MAYO","R","R","910",0
1923,"ANTA","A","A","040",0
1924,"CACHI","A","A","080",0
1925,"CAFAYATE","A","A","120",0
1926,"LA CALDERA","A","A","160",0
1927,"LA CANDELARIA","A","A","200",0
1928,"CAPITAL","A","A","240",0
1929,"CERRILLOS","A","A","280",0
1930,"CHICOANA","A","A","320",0
1931,"GRAL J D SAN MARTIN","A","A","360",0
1932,"GENERAL M DE GUEMES","A","A","400",0
1933,"GUACHIPAS","A","A","440",0
1934,"IRUYA","A","A","480",0
1935,"LA POMA","A","A","520",0
1936,"LA VIÑA","A","A","560",0
1937,"LOS ANDES","A","A","600",0
1938,"METAN","A","A","640",0
